season;group;round;date;time;home_team;away_team;bye_team
2026/2027;A;1;11. 9. 2026;19:00;DC Štiky;DC Vlci;Sršni Vémyslice
2026/2027;A;1;11. 9. 2026;19:00;DC Rafani Hodonice;DC Krakeni Hrušovany n. J.;Sršni Vémyslice
2026/2027;A;1;11. 9. 2026;19:00;DC Dikobrazi Olbramovice;Lukovští Dravci;Sršni Vémyslice
2026/2027;A;1;11. 9. 2026;19:00;Loofci;Aligátoři Kuchařovice;Sršni Vémyslice
2026/2027;A;1;11. 9. 2026;19:00;DC Orli Drnholec;DC Medvědi Chvalovice;Sršni Vémyslice
2026/2027;A;2;25. 9. 2026;19:00;Sršni Vémyslice;DC Štiky;DC Rafani Hodonice
2026/2027;A;2;25. 9. 2026;19:00;DC Vlci;Lukovští Dravci;DC Rafani Hodonice
2026/2027;A;2;25. 9. 2026;19:00;DC Krakeni Hrušovany n. J.;Loofci;DC Rafani Hodonice
2026/2027;A;2;25. 9. 2026;19:00;DC Medvědi Chvalovice;DC Dikobrazi Olbramovice;DC Rafani Hodonice
2026/2027;A;2;25. 9. 2026;19:00;Aligátoři Kuchařovice;DC Orli Drnholec;DC Rafani Hodonice
2026/2027;A;3;2. 10. 2026;19:00;DC Rafani Hodonice;Sršni Vémyslice;Loofci
2026/2027;A;3;2. 10. 2026;19:00;Lukovští Dravci;DC Štiky;Loofci
2026/2027;A;3;2. 10. 2026;19:00;DC Medvědi Chvalovice;DC Vlci;Loofci
2026/2027;A;3;2. 10. 2026;19:00;DC Orli Drnholec;DC Krakeni Hrušovany n. J.;Loofci
2026/2027;A;3;2. 10. 2026;19:00;DC Dikobrazi Olbramovice;Aligátoři Kuchařovice;Loofci
2026/2027;A;4;16. 10. 2026;19:00;Sršni Vémyslice;Lukovští Dravci;DC Orli Drnholec
2026/2027;A;4;16. 10. 2026;19:00;DC Rafani Hodonice;Loofci;DC Orli Drnholec
2026/2027;A;4;16. 10. 2026;19:00;DC Štiky;DC Medvědi Chvalovice;DC Orli Drnholec
2026/2027;A;4;16. 10. 2026;19:00;Aligátoři Kuchařovice;DC Vlci;DC Orli Drnholec
2026/2027;A;4;16. 10. 2026;19:00;DC Krakeni Hrušovany n. J.;DC Dikobrazi Olbramovice;DC Orli Drnholec
2026/2027;A;5;30. 10. 2026;19:00;Sršni Vémyslice;Loofci;DC Dikobrazi Olbramovice
2026/2027;A;5;30. 10. 2026;19:00;Lukovští Dravci;DC Medvědi Chvalovice;DC Dikobrazi Olbramovice
2026/2027;A;5;30. 10. 2026;19:00;DC Orli Drnholec;DC Rafani Hodonice;DC Dikobrazi Olbramovice
2026/2027;A;5;30. 10. 2026;19:00;DC Štiky;Aligátoři Kuchařovice;DC Dikobrazi Olbramovice
2026/2027;A;5;30. 10. 2026;19:00;DC Vlci;DC Krakeni Hrušovany n. J.;DC Dikobrazi Olbramovice
2026/2027;A;6;13. 11. 2026;19:00;DC Medvědi Chvalovice;Sršni Vémyslice;DC Vlci
2026/2027;A;6;13. 11. 2026;19:00;Loofci;DC Orli Drnholec;DC Vlci
2026/2027;A;6;13. 11. 2026;19:00;Aligátoři Kuchařovice;Lukovští Dravci;DC Vlci
2026/2027;A;6;13. 11. 2026;19:00;DC Dikobrazi Olbramovice;DC Rafani Hodonice;DC Vlci
2026/2027;A;6;13. 11. 2026;19:00;DC Krakeni Hrušovany n. J.;DC Štiky;DC Vlci
2026/2027;A;7;27. 11. 2026;19:00;Sršni Vémyslice;DC Orli Drnholec;DC Štiky
2026/2027;A;7;27. 11. 2026;19:00;DC Medvědi Chvalovice;Aligátoři Kuchařovice;DC Štiky
2026/2027;A;7;27. 11. 2026;19:00;Loofci;DC Dikobrazi Olbramovice;DC Štiky
2026/2027;A;7;27. 11. 2026;19:00;Lukovští Dravci;DC Krakeni Hrušovany n. J.;DC Štiky
2026/2027;A;7;27. 11. 2026;19:00;DC Vlci;DC Rafani Hodonice;DC Štiky
2026/2027;A;8;11. 12. 2026;19:00;Aligátoři Kuchařovice;Sršni Vémyslice;Lukovští Dravci
2026/2027;A;8;11. 12. 2026;19:00;DC Orli Drnholec;DC Dikobrazi Olbramovice;Lukovští Dravci
